직무몰입1,직무몰입2,직무몰입3,직무몰입4,직무몰입5,직무몰입6,직무몰입7
6.0,6.0,6.0,6.0,6.0,6.0,6.0
4.0,2.0,3.0,3.0,2.0,3.0,4.0
3.0,6.0,4.0,1.0,5.0,2.0,5.0
4.0,3.0,3.0,3.0,5.0,1.0,2.0
0.0,1.0,1.0,1.0,1.0,6.0,4.0
4.0,5.0,5.0,4.0,6.0,3.0,5.0
6.0,3.0,6.0,4.0,4.0,4.0,0.0
2.0,3.0,3.0,3.0,3.0,3.0,6.0
3.0,2.0,2.0,3.0,3.0,4.0,4.0
4.0,6.0,6.0,5.0,4.0,3.0,2.0
3.0,3.0,3.0,4.0,4.0,2.0,4.0
2.0,1.0,2.0,3.0,3.0,5.0,3.0
4.0,2.0,2.0,3.0,2.0,2.0,2.0
1.0,0.0,1.0,2.0,1.0,1.0,1.0
4.0,4.0,3.0,4.0,3.0,5.0,3.0
2.0,2.0,2.0,6.0,3.0,3.0,4.0
3.0,3.0,3.0,3.0,6.0,0.0,6.0
3.0,3.0,5.0,4.0,4.0,4.0,2.0
2.0,3.0,2.0,1.0,3.0,2.0,3.0
3.0,3.0,4.0,4.0,3.0,4.0,4.0
1.0,3.0,2.0,1.0,2.0,3.0,3.0
2.0,5.0,4.0,3.0,5.0,0.0,6.0
5.0,3.0,3.0,3.0,2.0,3.0,3.0
0.0,1.0,6.0,4.0,2.0,6.0,2.0
1.0,2.0,2.0,5.0,3.0,3.0,2.0
1.0,1.0,2.0,1.0,3.0,2.0,3.0
4.0,3.0,3.0,4.0,4.0,4.0,4.0
5.0,4.0,3.0,3.0,5.0,3.0,4.0
3.0,2.0,2.0,2.0,3.0,3.0,5.0
4.0,4.0,4.0,4.0,4.0,4.0,5.0
4.0,5.0,5.0,5.0,5.0,5.0,5.0
3.0,6.0,6.0,5.0,6.0,0.0,0.0
4.0,4.0,4.0,4.0,4.0,2.0,2.0
3.0,3.0,5.0,6.0,6.0,6.0,6.0
1.0,1.0,1.0,1.0,1.0,5.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,5.0
6.0,3.0,5.0,3.0,4.0,6.0,6.0
2.0,4.0,2.0,2.0,2.0,5.0,5.0
6.0,4.0,4.0,4.0,4.0,4.0,5.0
3.0,1.0,2.0,2.0,2.0,2.0,2.0
4.0,0.0,4.0,6.0,2.0,1.0,5.0
4.0,4.0,5.0,4.0,4.0,6.0,4.0
4.0,0.0,4.0,5.0,5.0,2.0,2.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,4.0,4.0,3.0,4.0,2.0,3.0
3.0,1.0,2.0,4.0,2.0,2.0,2.0
4.0,4.0,4.0,4.0,3.0,3.0,2.0
1.0,1.0,2.0,2.0,3.0,4.0,3.0
1.0,1.0,1.0,3.0,1.0,5.0,4.0
5.0,1.0,1.0,3.0,2.0,4.0,1.0
2.0,2.0,2.0,1.0,1.0,5.0,4.0
4.0,5.0,4.0,5.0,4.0,4.0,4.0
4.0,2.0,1.0,2.0,5.0,1.0,2.0
3.0,1.0,1.0,2.0,2.0,3.0,1.0
4.0,6.0,5.0,5.0,2.0,3.0,3.0
3.0,4.0,5.0,1.0,5.0,6.0,3.0
4.0,3.0,5.0,4.0,4.0,4.0,5.0
3.0,5.0,3.0,2.0,3.0,3.0,3.0
3.0,2.0,3.0,3.0,3.0,6.0,6.0
2.0,3.0,2.0,4.0,3.0,2.0,2.0
2.0,3.0,3.0,3.0,2.0,3.0,3.0
5.0,4.0,5.0,2.0,4.0,5.0,4.0
2.0,3.0,2.0,3.0,4.0,2.0,3.0
6.0,6.0,6.0,5.0,6.0,1.0,2.0
4.0,4.0,4.0,3.0,4.0,3.0,4.0
6.0,6.0,6.0,6.0,6.0,6.0,6.0
0.0,2.0,1.0,1.0,1.0,0.0,1.0
3.0,3.0,3.0,4.0,4.0,3.0,4.0
3.0,3.0,3.0,3.0,3.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,3.0,2.0
5.0,4.0,3.0,3.0,4.0,4.0,3.0
4.0,3.0,4.0,3.0,2.0,3.0,4.0
1.0,3.0,2.0,2.0,2.0,4.0,3.0
4.0,4.0,3.0,4.0,3.0,3.0,3.0
3.0,0.0,5.0,5.0,4.0,3.0,2.0
1.0,2.0,2.0,2.0,4.0,2.0,4.0
1.0,1.0,1.0,2.0,1.0,2.0,5.0
2.0,2.0,4.0,4.0,2.0,3.0,3.0
4.0,5.0,5.0,4.0,4.0,3.0,3.0
3.0,3.0,4.0,4.0,5.0,2.0,2.0
6.0,6.0,6.0,5.0,6.0,1.0,2.0
3.0,3.0,4.0,4.0,3.0,3.0,2.0
6.0,6.0,4.0,4.0,4.0,4.0,5.0
1.0,1.0,0.0,5.0,2.0,4.0,5.0
4.0,3.0,3.0,4.0,4.0,4.0,4.0
3.0,5.0,4.0,4.0,5.0,2.0,4.0
4.0,2.0,3.0,3.0,3.0,3.0,3.0
3.0,2.0,3.0,2.0,3.0,3.0,4.0
2.0,0.0,6.0,0.0,6.0,0.0,6.0
1.0,2.0,2.0,2.0,3.0,4.0,4.0
1.0,2.0,5.0,5.0,3.0,5.0,4.0
5.0,4.0,4.0,4.0,4.0,3.0,1.0
2.0,2.0,5.0,3.0,2.0,4.0,5.0
5.0,4.0,3.0,2.0,3.0,3.0,4.0
3.0,3.0,3.0,4.0,4.0,4.0,5.0
1.0,2.0,3.0,1.0,3.0,6.0,3.0
6.0,5.0,5.0,6.0,6.0,0.0,6.0
1.0,3.0,5.0,6.0,5.0,5.0,1.0
1.0,0.0,0.0,0.0,1.0,5.0,5.0
3.0,3.0,4.0,5.0,4.0,5.0,2.0
3.0,6.0,4.0,4.0,2.0,3.0,1.0
2.0,1.0,3.0,2.0,3.0,4.0,2.0
4.0,4.0,5.0,4.0,4.0,5.0,5.0
2.0,2.0,2.0,2.0,1.0,6.0,5.0
4.0,3.0,3.0,4.0,3.0,2.0,2.0
3.0,1.0,4.0,3.0,2.0,3.0,3.0
5.0,6.0,5.0,5.0,5.0,5.0,5.0
5.0,4.0,5.0,5.0,6.0,1.0,1.0
2.0,1.0,2.0,2.0,2.0,4.0,3.0
4.0,4.0,4.0,3.0,4.0,4.0,3.0
5.0,5.0,5.0,5.0,4.0,1.0,0.0
1.0,2.0,1.0,1.0,2.0,4.0,1.0
5.0,4.0,4.0,6.0,4.0,4.0,3.0
2.0,0.0,0.0,0.0,0.0,0.0,6.0
2.0,4.0,3.0,4.0,4.0,4.0,4.0
3.0,5.0,4.0,5.0,5.0,3.0,3.0
4.0,2.0,4.0,4.0,3.0,2.0,4.0
3.0,3.0,3.0,4.0,3.0,3.0,3.0
1.0,1.0,1.0,1.0,1.0,5.0,5.0
5.0,6.0,4.0,2.0,5.0,5.0,5.0
3.0,2.0,2.0,3.0,2.0,2.0,3.0
3.0,3.0,4.0,3.0,3.0,3.0,3.0
5.0,5.0,5.0,6.0,4.0,5.0,3.0
6.0,3.0,3.0,3.0,6.0,5.0,5.0
4.0,4.0,4.0,4.0,4.0,2.0,2.0
2.0,3.0,3.0,4.0,3.0,5.0,5.0
1.0,1.0,1.0,3.0,4.0,4.0,5.0
6.0,0.0,6.0,6.0,6.0,5.0,6.0
1.0,5.0,2.0,2.0,4.0,2.0,2.0
2.0,1.0,3.0,4.0,1.0,3.0,5.0
3.0,4.0,3.0,4.0,4.0,4.0,5.0
5.0,5.0,5.0,5.0,5.0,4.0,5.0
2.0,1.0,2.0,5.0,4.0,5.0,4.0
6.0,6.0,6.0,6.0,5.0,5.0,3.0
3.0,3.0,4.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,6.0,0.0,0.0
2.0,3.0,4.0,2.0,2.0,2.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0
5.0,4.0,5.0,2.0,2.0,6.0,3.0
0.0,0.0,6.0,0.0,0.0,0.0,6.0
3.0,3.0,3.0,3.0,3.0,6.0,3.0
3.0,2.0,1.0,2.0,4.0,5.0,3.0
3.0,5.0,5.0,5.0,5.0,1.0,2.0
3.0,2.0,2.0,2.0,2.0,2.0,3.0
3.0,4.0,0.0,0.0,0.0,6.0,6.0
3.0,4.0,3.0,3.0,2.0,4.0,3.0
0.0,2.0,0.0,4.0,1.0,2.0,3.0
